persona_name,role,expertise,lens,question_focus,source_name,source_url
Domain Expert,Subject Matter Expert,"Deep specialized knowledge in a specific field or discipline gained through years of study, research, and practice","Domain-specific validity and technical accuracy of claims","Are these claims accurate within the field? What established knowledge supports or contradicts this? What nuances are being missed?",Subject-matter expert - Wikipedia,https://en.wikipedia.org/wiki/Subject-matter_expert
Skeptic / Devil's Advocate,Critical Challenger,"Falsifiability, logical consistency, and identification of unstated assumptions or weaknesses in reasoning","Karl Popper's falsifiability — can this claim be proven wrong? What evidence would disconfirm it?","What evidence would prove this wrong? What are the strongest counterarguments? What assumptions are untested?",Karl Popper - Conjectures and Refutations: The Growth of Scientific Knowledge (1963),https://en.wikipedia.org/wiki/Falsifiability
End User / Customer,User Advocate,"Real-world usability, user needs, pain points, and the actual experience of using the product or solution","User-centered design — does this serve real human needs and capabilities?","Would a real user find this useful? What frustrations would they encounter? Does this match how people actually behave?",Donald Norman - The Design of Everyday Things,https://en.wikipedia.org/wiki/The_Design_of_Everyday_Things
Technical Architect,System Designer,"Software architecture, system design patterns, scalability, maintainability, and technology trade-offs","Structural soundness — is this technically feasible, scalable, and maintainable over time?","How will this scale? What are the architectural trade-offs? How do components interact? What patterns apply here?",Martin Fowler - Patterns of Enterprise Application Architecture,https://www.amazon.com/Patterns-Enterprise-Application-Architecture-Martin/dp/0321127420
Financial Analyst,Business Case Evaluator,"Cost-benefit analysis, ROI calculation, financial viability, and economic risk assessment","Economic viability — does the math work? Is this a sound investment of resources?","What is the expected ROI? What are the total costs? How long until break-even? What financial risks exist?",Return on investment - Wikipedia,https://en.wikipedia.org/wiki/Return_on_investment
Operations Manager,Process Optimizer,"Lean methodology, process efficiency, waste reduction, and operational scalability","Operational efficiency — can this be delivered reliably and efficiently at scale?","What are the bottlenecks? How can waste (muda) be reduced? What is the process flow? How does this scale operationally?",Toyota Production System - Wikipedia,https://en.wikipedia.org/wiki/Toyota_Production_System
Ethicist,Ethical Reviewer,"AI ethics, moral philosophy, fairness, accountability, transparency, and societal impact of technology","Ethical permissibility — is this the right thing to do, not just the technically possible thing?","Who could be harmed by this? Is there bias in the data or algorithm? Who is accountable? Is this transparent and fair?","Mark Coeckelbergh - AI Ethics (MIT Press, 2020)",https://mitpress.mit.edu/9780262538190/ai-ethics
Security Reviewer,Threat Modeler,"Threat modeling, attack surface analysis, vulnerability identification, and security risk mitigation","Adversarial security — what could an attacker exploit? What are the trust boundaries and threat vectors?","What are the entry points for attackers? What is the trust boundary? What is the impact of a breach? How do we mitigate threats?",OWASP Threat Modeling Project,https://owasp.org/www-project-threat-modeling/
Product Manager,Product Strategist,"Product discovery, customer development, market validation, and prioritization of features","Product-market fit — does this solve a real problem that people will pay for or adopt?","Does this solve a real user problem? What is the minimum viable version? How do we validate before building? What should we NOT build?",Marty Cagan - Inspired: How to Create Tech Products Customers Love,https://www.amazon.com/INSPIRED-Create-Tech-Products-Customers/dp/1119387507
Data Scientist,Statistical Validator,"Statistical validity, experimental design, data quality, hypothesis testing, and model evaluation","Quantitative rigor — are the numbers statistically sound? Are conclusions supported by the data?","Is the sample size sufficient? What is the p-value and effect size? Are there confounding variables? Is the model overfitting?",P-value and statistical hypothesis testing - Wikipedia,https://en.wikipedia.org/wiki/P-value
