framework_name,category,description,when_to_use,source_name,source_url
"5 Whys","Root Cause Analysis","Iterative interrogative technique that asks 'why' repeatedly (typically five times) to peel away layers of symptoms and reveal the root cause of a problem","When a problem has an unknown or hidden root cause; when you need a simple low-cost RCA tool; as part of Kaizen or lean problem-solving","Toyota Production System / Taiichi Ohno (1988) Toyota Production System: Beyond Large-Scale Production","https://en.wikipedia.org/wiki/Five_whys"
"Fishbone / Ishikawa Diagram","Root Cause Analysis","Visual cause-and-effect diagram that organizes potential causes of a problem into categories (e.g. 6Ms: Man Machine Method Material Measurement Mother Nature) branching off a central spine resembling a fishbone","When a problem has many interacting causes; when a team needs to visually map all contributing factors; one of the Seven Basic Tools of Quality","Kaoru Ishikawa - University of Tokyo (1960s); EBSCO Research Starter on Ishikawa Diagram","https://www.ebsco.com/research-starters/religion-and-philosophy/ishikawa-diagram"
"MECE (Mutually Exclusive Collectively Exhaustive)","Structured Thinking","Framework for organizing information so that categories do not overlap (mutually exclusive) and together they cover the entire problem space (collectively exhaustive); central to the Minto Pyramid Principle","When structuring analysis presentations or data classification; when breaking down a problem into sub-components; foundational to McKinsey-style consulting communication","Barbara Minto - The Pyramid Principle (McKinsey & Company 1970s)","https://managementconsulted.com/pyramid-principle/"
"First Principles Thinking","Problem Decomposition","Reasoning method that breaks a complex problem down to its most fundamental axiomatic truths that cannot be deduced further then rebuilds understanding from the ground up rather than by analogy","When challenging entrenched assumptions; when innovating in a domain dominated by conventional wisdom; when designing from physics fundamentals rather than existing solutions","Aristotle (Physics Metaphysics); Elon Musk popularized in modern engineering (SpaceX Tesla interviews)","https://en.wikipedia.org/wiki/First_principle"
"Socratic Questioning","Critical Inquiry","Disciplined systematic questioning method that probes assumptions evidence implications and counterarguments through six categories: clarification assumptions reasoning perspectives implications and the question itself","When examining the validity of a claim or belief; when teaching critical thinking; when uncovering hidden assumptions in an argument","Socrates (as recorded by Plato); Linda Elder & Richard Paul - The Thinker's Guide to the Art of Socratic Questioning (Foundation for Critical Thinking 2016)","https://www.criticalthinking.org/store/get_file.php?inventories_id=231&inventories_files_id=422"
"Bloom's Taxonomy (Critical Thinking Framework)","Educational Cognitive Framework","Hierarchical taxonomy of cognitive learning objectives (Remember Understand Apply Analyze Evaluate Create) used to structure questions at increasing levels of complexity and critical thinking depth","When designing questions that range from recall to evaluation; when assessing depth of understanding; when scaffolding inquiry from basic to higher-order thinking","Benjamin Bloom et al. (1956); revised by Anderson & Krathwohl (2001) - A Taxonomy for Learning Teaching and Assessing","https://en.wikipedia.org/wiki/Bloom%27s_taxonomy"
"PICO","Evidence-Based Medicine","Framework for formulating answerable clinical questions: Patient/Population Intervention Comparison and Outcome; standard structure for evidence-based medicine literature searches"," When formulating clinical or intervention research questions; when searching medical databases (PubMed Cochrane); when designing RCTs or systematic reviews in healthcare","Richardson WS et al. (1995) ACP Journal Club; Cochrane Handbook Chapter 2","https://www.cochranelibrary.com/about/pico"
"FINER","Research Question Criteria","Mnemonic for evaluating research questions: Feasible Interesting Novel Ethical and Relevant; used to assess whether a research question is worth pursuing before investing resources","When evaluating candidate research questions before committing to a study; when reviewing grant proposals or thesis topics; at the inception of a research design","Hulley SB Cummings SR Browner WS Grady DG Newman TB - Designing Clinical Research (Lippincott Williams & Wilkins)","https://converge-training.colorado.edu/wp-content/uploads/2021/02/FINER-Criteria-for-Developing-Research-Questions-1.pdf"
"SPIDER","Qualitative Research Question Framework","Framework for qualitative/mixed-methods questions: Sample Phenomenon of Interest Design Evaluation and Research type; alternative to PICO designed specifically for non-quantitative evidence synthesis","When formulating qualitative or mixed-methods research questions; when conducting qualitative systematic reviews; when PICO is too intervention-focused for the research design","Cooke A Smith D Booth A (2012) Beyond PICO: The SPIDER tool for qualitative evidence synthesis. Qualitative Health Research 22(10) 1435-1443","https://journals.sagepub.com/doi/abs/10.1177/1049732312452938"
"CONSORT","Reporting Guideline","Consolidated Standards of Reporting Trials: checklist-based guideline for reporting parallel-group randomized controlled trials ensuring transparency of design methods results and analysis","When reporting results of a randomized controlled trial; when submitting RCT manuscripts to medical journals; when appraising RCT reporting quality","Schulz KF Altman DG Moher D - CONSORT Group (2010) BMJ 340:c332","https://link.springer.com/article/10.1186/1741-7015-8-18"
"PRISMA","Reporting Guideline","Preferred Reporting Items for Systematic Reviews and Meta-Analyses: evidence-based minimum item set for reporting systematic reviews including flow diagram for study screening and selection","When reporting a systematic review or meta-analysis; when submitting review manuscripts; updated from PRISMA 2009 to PRISMA 2020 with expanded checklist","Page MJ McKenzie JE Bossuyt PM et al. (2021) The PRISMA 2020 statement. BMJ 372:n71","https://www.prisma-statement.org/"
